Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C20",CP_Elec_8x10.5,3,470u,
"C10, C25, C27",0603,3,0.01U,
C11,0603,1,2.2n,
C12,0805,1,2.2u,
C13,CP_EIA-3528-21_Kemet-B,1,47u,
"C14, C15, C24, C26, C3, C5",0805,6,1u,
"C16, C17, C18",CP_Elec_6.3x7.7,3,220u,
"C2, C21, C22, C23, C4, C6, C7, C8, C9",0603,9,0.1u,
"C28, C29",0603,2,15P,
D1,D_SMC,1,1.5SMCxxCA,
"D12, D13",0805,2,LED_Small,C2297
"D2, D3",D_SMC,2,MBRS340,
F1,Fuse_Blade_Mini_directSolder,1,Fuse,
FB1,1210,1,FerriteBead,
J1,AMASS_XT60PW-M,1,XT60PW-M,
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
L1,L_APV_ANR4012,1,68u,
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC098N10NS5,
Q7,TDSON-8-1,1,BSC026N08NS5,
R1,2512,1,5m,
"R10, R11, R2, R4, R5, R6, R7, R8, R9",0603,9,4.7K,
R12,0603,1,475k,
R13,0603,1,150k,
"R14, R32",0603,2,100k,
"R15, R30",0603,2,5.1K,C27834
"R16, R18, R23, R28, R29",0603,5,22,
"R17, R19, R20, R21, R22, R24, R25, R26, R27, R31, R37",0603,11,10k,
R33,0603,1,1k,
R34,0603,1,100,
"R59, R60",0402,2,1.5k,
"SW1, SW2",SW_TH_Tactile_Omron_B3F-100x,2,SW_Push_Dual_x2,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G474CBTx,
U11,SOT-23-6,1,USBLC6-2SC6,
U2,Texas_RHA0040E_VQFN-40-1EP_6x6mm_P0.5mm_EP3.52x2.62mm,1,DRV8308,
U6,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,1,LM5164DDA,
U7,SOT-23-5,1,TLV75533PDBV,
U8,DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm,1,LTC4359-DCB,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23,
